,questions
0,what is the role of the bias in neural networks 
1,what is the difference between a generative and a discriminative algorithm 
2,tensorflow how to save restore a model 
3,a simple explanation of naive bayes classification
4,how does the google quot did you mean quot algorithm work 
5,epoch vs iteration when training neural networks
6,what are advantages of artificial neural networks over support vector machines 
7,what is logits softmax and softmax cross entropy with logits 
8,what is the difference between supervised learning and unsupervised learning 
9,what is the meaning of the word logits in tensorflow 
10,how to implement the softmax function in python
11,what is the difference between linear regression and logistic regression 
12,convert array of indices to hot encoded numpy array
13,which machine learning classifier to choose in general 
14,how to interpret quot loss quot and quot accuracy quot for a machine learning model
15,is there a rule of thumb for how to divide a dataset into training and validation sets 
16,difference between classification and clustering in data mining 
17,save classifier to disk in scikit learn
18,is it possible to specify your own distance function using scikit learn k means clustering 
19,nearest neighbors in high dimensional data 
20,why binary crossentropy and categorical crossentropy give different performances for the same problem 
21,how to extract the decision rules from scikit learn decision tree 
22,how to understand locality sensitive hashing 
23,why do we have to normalize the input for an artificial neural network 
24,how to split data into sets train validation and test 
25,tensorflow why was python the chosen language 
26,when should i use genetic algorithms as opposed to neural networks 
27,why must a nonlinear activation function be used in a backpropagation neural network 
28,how to train an artificial neural network to play diablo using visual input 
29,how can i one hot encode in python 
30,how does apple find dates times and addresses in emails 
31,why does one hot encoding improve machine learning performance 
32,intuitive understanding of d d and d convolutions in convolutional neural networks
33,what is the difference between steps and epochs in tensorflow 
34,python what is exactly sklearn pipeline pipeline 
35,how can i run tensorboard on a remote server 
36,machine learning libraries in c 
37,google colaboratory misleading information about its gpu only ram available to some users 
38,how to compute precision recall accuracy and f score for the multiclass case with scikit learn 
39,what is an intuitive explanation of the expectation maximization technique 
40,what is the role of quot flatten quot in keras 
41,many to one and many to many lstm examples in keras
42,why should weights of neural networks be initialized to random numbers 
43,multi layer perceptron mlp architecture criteria for choosing number of hidden layers and size of the hidden layer 
44,can anyone explain me standardscaler 
45,what is the difference between a feature and a label 
46,how to apply gradient clipping in tensorflow 
47,can keras with tensorflow backend be forced to use cpu or gpu at will 
48,what is machine learning 
49,what is cross entropy 
50,python tf idf cosine to find document similarity
51,what is the map metric and how is it calculated 
52,how to concatenate two layers in keras 
53,what is the difference between np mean and tf reduce mean 
54,how to load a model from an hdf file in keras 
55,sentiment analysis for twitter in python
56,what is the difference between value iteration and policy iteration 
57,cocktail party algorithm svd implementation in one line of code 
58,how can i build a model to distinguish tweets about apple inc from tweets about apple fruit 
59,keras difference between kernel and activity regularizers
60,why is the f measure a harmonic mean and not an arithmetic mean of the precision and recall measures 
61,word vec negative sampling in layman term 
62,how to get tensorflow tensor dimensions shape as int values 
63,how do i find wally with python 
64,common causes of nans during training
65,how to tell keras stop training based on loss value 
66,how to create a new gym environment in openai 
67,error in python script quot expected d array got d array instead quot 
68,estimating the number of neurons and number of layers of an artificial neural network
69,unsupervised clustering with unknown number of clusters
70,detecting patterns in waves
71,what is the relation between the number of support vectors and training data and classifiers performance 
72,what are the pros and cons between get dummies pandas and onehotencoder scikit learn 
73,understanding min df and max df in scikit countvectorizer
74,recovering features names of explained variance ratio in pca with sklearn
75,what is the role of timedistributed layer in keras 
76,deep learning nan loss reasons
77,batch normalization in convolutional neural network
78,how to update the bias in neural network backpropagation 
79,tensorflow one hot encoder 
80,how to implement the relu function in numpy
81,why gradient descent when we can solve linear regression analytically
82,scikit learn predict default threshold
83,how to get most informative features for scikit learn classifiers 
84,ways to improve the accuracy of a naive bayes classifier 
85,tensorflow regularization with l loss how to apply to all weights not just last one 
86,machine learning in ocaml or haskell 
87,how to interpret poolallocator messages in tensorflow 
88,perceptron learning algorithm not converging to 
89,what is the intuition of using tanh in lstm
90,training a neural network with reinforcement learning
91,what is out of bag error in random forests 
92,what are the major differences and benefits of porter and lancaster stemming algorithms 
93,accuracy score valueerror can t handle mix of binary and continuous target
94,extracting an information from web page by machine learning
95,open source neural network library
96,scikit learn how to obtain true positive true negative false positive and false negative
97,how to write a confusion matrix in python 
98,how to save final model using keras 
99,what is the difference between labeled and unlabeled data 
100,how big should batch size and number of epochs be when fitting a model in keras 
101,what is the difference between gradient descent and newton s gradient descent 
102,pattern recognition in time series
103,how to approach a number guessing game with a twist algorithm 
104,gradient descent using python and numpy
105,svm hard or soft margins 
106,what s the difference between a bidirectional lstm and an lstm 
107,resources for working with machine learning in f 
108,logo recognition in images
109,mixing categorial and continuous data in naive bayes classifier using scikit learn
110,how are neural networks used when the number of inputs could be variable 
111,training data for sentiment analysis
112,keras how to save the training history attribute of the history object
113,converting a vision vntextobservation to a string
114,java r integration 
115,normalize a feature in this table
116,evaluation amp calculate top n accuracy top and top 
117,meaning of an epoch in neural networks training
118,unbalanced data and weighted cross entropy
119,how to do multi class classification using support vector machines svm 
120,can someone explain to me the difference between a cost function and the gradient descent equation in logistic regression 
121,keras model summary result understanding the of parameters
122,what is a learning curve in machine learning 
123,show progress bar for each epoch during batchwise training in keras
124,what is the difference between a sigmoid followed by the cross entropy and sigmoid cross entropy with logits in tensorflow 
125,how does one debug nan values in tensorflow 
126,cost function linear regression trying to avoid hard coding theta octave 
127,tfidfvectorizer in scikit learn valueerror np nan is an invalid document
128,plotting results of hierarchical clustering ontop of a matrix of data in python
129,linear regression analysis with string categorical features variables 
130,tensorflow quot attempting to use uninitialized value quot in variable initialization
131,can neural networks approximate any function given enough hidden neurons 
132,how to install tensorflow on windows 
133,octave logistic regression difference between fmincg and fminunc
134,save naive bayes trained classifier in nltk
135,pointers to some good svm tutorial 
136,different result with roc auc score and auc 
137,classifiers in scikit learn that handle nan null
138,understanding neural network backpropagation
139,tensorflow quot module object has no attribute placeholder quot 
140,instance normalisation vs batch normalisation
141,what is difference between tf truncated normal and tf random normal 
142,what is inductive bias in machine learning 
143,is it possible to append series to rows of dataframe without making a list first 
144,dummy variables when not all categories are present
145,tag generation from a text content
146,why does scikitlearn says f score is ill defined with fn bigger than 
147,cool project to use a genetic algorithm for 
148,calculate auc in r 
149,importerror could not import pil image working with keras ternsorflow
150,how hard is it to implement a chess engine 
151,graph write pdf quot iris pdf quot attributeerror list object has no attribute write pdf 
152,unsupervised sentiment analysis
153,how to learn mouse movement 
154,how to install xgboost package in python windows platform 
155,keras text preprocessing saving tokenizer object to file for scoring
156,how to find the corresponding class in clf predict proba 
157,how to predict input image using trained model in keras 
